time,gFx,gFy,gFz,TgF
22:00:51:873,-0.1641,0.1481,1.0247,1.048
22:00:51:875,-0.2121,0.1401,1.1168,1.145
22:00:51:876,-0.2201,0.1361,1.1448,1.174
22:00:51:878,-0.1921,0.1601,1.1488,1.176
22:00:51:880,-0.1961,0.2161,1.1448,1.181
22:00:51:894,-0.2402,0.2522,1.1688,1.220
22:00:51:896,-0.2642,0.2762,1.1648,1.226
22:00:51:958,-0.2602,0.2802,1.1448,1.207
22:00:51:962,-0.2282,0.2642,1.1288,1.182
22:00:51:963,-0.1921,0.2922,1.1047,1.159
22:00:51:965,-0.1561,0.3202,1.0807,1.138
22:00:51:967,-0.1361,0.3322,0.9887,1.052
22:00:51:968,-0.1401,0.3242,0.9286,0.994
22:00:51:970,-0.1481,0.2882,0.8766,0.935
22:00:51:986,-0.1801,0.2802,0.9006,0.960
22:00:51:987,-0.1961,0.2482,1.0127,1.061
22:00:52:35,-0.2242,0.2201,1.1328,1.176
22:00:52:37,-0.2161,0.1961,1.1688,1.205
22:00:52:39,-0.1961,0.1841,1.1208,1.153
22:00:52:41,-0.1601,0.2081,1.0127,1.046
22:00:52:42,-0.1401,0.2201,0.9086,0.945
22:00:52:44,-0.1401,0.2121,0.8126,0.851
22:00:52:57,-0.1481,0.1521,0.7565,0.786
22:00:52:113,-0.1321,0.1321,0.7725,0.795
22:00:52:115,-0.1041,0.1201,0.8085,0.824
22:00:52:116,-0.1201,0.1281,0.8766,0.894
22:00:52:118,-0.1601,0.1521,1.0047,1.029
22:00:52:120,-0.2041,0.1441,1.0447,1.074
22:00:52:122,-0.2322,0.1281,1.0327,1.066
22:00:52:124,-0.2282,0.1281,0.9486,0.984
22:00:52:139,-0.2041,0.1481,0.8526,0.889
22:00:52:150,-0.1841,0.1761,0.8246,0.863
22:00:52:153,-0.1641,0.1801,0.8045,0.841
22:00:52:215,-0.1481,0.1681,0.8406,0.870
22:00:52:218,-0.1321,0.1561,0.8646,0.888
22:00:52:219,-0.1081,0.1761,0.9767,0.998
22:00:52:221,-0.1041,0.1921,1.1568,1.177
22:00:52:223,-0.1201,0.2282,1.3049,1.330
22:00:52:227,-0.1001,0.2442,1.3969,1.422
22:00:52:229,-0.1001,0.2682,1.3769,1.406
22:00:52:341,-0.1001,0.3122,1.3489,1.388
22:00:52:343,-0.1161,0.3682,1.3049,1.361
22:00:52:345,-0.1241,0.4123,1.2649,1.336
22:00:52:347,-0.1241,0.4043,1.2008,1.273
22:00:52:348,-0.0961,0.3923,1.1088,1.180
22:00:52:350,-0.0801,0.3803,1.0127,1.085
22:00:52:351,-0.0720,0.3642,0.9446,1.015
22:00:52:353,-0.0720,0.3482,0.9366,1.002
22:00:52:354,-0.0881,0.3042,0.9166,0.970
22:00:52:356,-0.0720,0.2482,0.8646,0.902
22:00:52:357,-0.0600,0.1841,0.8646,0.886
22:00:52:359,-0.0600,0.1641,0.9166,0.933
22:00:52:360,-0.0720,0.1361,0.9687,0.981
22:00:52:362,-0.0761,0.1041,0.9566,0.965
22:00:52:426,-0.0761,0.0761,0.9887,0.995
22:00:52:428,-0.0680,0.0440,0.9967,1.000
22:00:52:430,-0.0720,0.0560,1.0407,1.045
22:00:52:431,-0.0881,0.0761,1.0527,1.059
22:00:52:433,-0.0961,0.0841,1.0647,1.072
22:00:52:434,-0.0921,0.0921,1.0047,1.013
22:00:52:436,-0.0921,0.1321,0.9927,1.006
22:00:52:457,-0.1241,0.1841,0.9927,1.017
22:00:52:458,-0.1441,0.2362,1.0167,1.054
22:00:52:464,-0.1921,0.2562,1.0807,1.127
22:00:52:472,-0.2482,0.2682,1.0967,1.156
22:00:52:520,-0.2682,0.2802,1.1488,1.212
22:00:52:522,-0.2722,0.3202,1.1688,1.242
22:00:52:524,-0.2682,0.3322,1.1088,1.188
22:00:52:525,-0.2402,0.3602,0.9647,1.057
22:00:52:526,-0.2041,0.3642,0.8406,0.939
22:00:52:536,-0.1721,0.3642,0.7805,0.878
22:00:52:585,-0.1521,0.3322,0.8085,0.887
22:00:52:587,-0.1281,0.2722,0.8966,0.946
22:00:52:588,-0.0961,0.2442,0.9526,0.988
22:00:52:590,-0.1001,0.2201,1.0127,1.041
22:00:52:596,-0.1081,0.2161,1.1248,1.150
22:00:52:598,-0.1321,0.2282,1.1928,1.222
22:00:52:626,-0.1601,0.2001,1.1928,1.220
22:00:52:627,-0.1321,0.1641,1.0887,1.109
22:00:52:628,-0.1361,0.1881,0.9687,0.996
22:00:52:634,-0.1521,0.2242,0.9006,0.940
22:00:52:691,-0.2041,0.2161,0.8926,0.941
22:00:52:780,-0.2322,0.1961,0.8926,0.943
22:00:52:782,-0.2842,0.1681,0.9286,0.986
22:00:52:784,-0.3002,0.1361,0.9967,1.050
22:00:52:786,-0.3162,0.1521,1.0727,1.129
22:00:52:787,-0.3242,0.1641,1.1488,1.205
22:00:52:789,-0.2962,0.1601,1.1528,1.201
22:00:52:791,-0.2402,0.1521,1.0807,1.117
22:00:52:792,-0.1921,0.1521,1.0007,1.030
22:00:52:794,-0.1641,0.1761,0.9967,1.025
22:00:52:795,-0.1481,0.1801,1.0207,1.047
22:00:52:796,-0.1401,0.1801,1.0167,1.042
22:00:52:798,-0.1001,0.1721,1.0087,1.028
22:00:52:799,-0.1161,0.2362,0.9286,0.965
22:00:52:800,-0.1441,0.2442,0.8646,0.910
22:00:52:802,-0.2322,0.2362,0.9126,0.971
22:00:52:822,-0.2922,0.1961,1.0807,1.137
22:00:52:823,-0.3002,0.1561,1.2488,1.294
22:00:52:832,-0.2482,0.1601,1.4090,1.440
22:00:52:897,-0.1681,0.2322,1.4290,1.457
22:00:52:899,-0.1121,0.2922,1.3849,1.420
22:00:52:900,-0.1281,0.3242,1.3089,1.355
22:00:52:902,-0.1401,0.3082,1.2448,1.290
22:00:52:903,-0.1041,0.2762,1.0807,1.120
22:00:52:905,-0.0360,0.2722,0.9687,1.007
22:00:52:906,0.0040,0.3162,0.9006,0.955
22:00:52:918,0.0040,0.3202,0.9406,0.994
22:00:52:923,-0.0280,0.2882,1.0167,1.057
22:00:52:932,-0.0961,0.2322,1.1088,1.137
22:00:53:1,-0.1361,0.1641,1.2008,1.220
22:00:53:3,-0.1241,0.1601,1.2288,1.245
22:00:53:4,-0.1041,0.1801,1.1728,1.191
22:00:53:7,-0.0841,0.2001,1.0367,1.059
22:00:53:9,-0.0801,0.1601,0.9687,0.985
22:00:53:10,-0.0841,0.1361,0.9006,0.915
22:00:53:11,-0.0560,0.1121,0.8886,0.897
22:00:53:13,-0.0200,0.1081,0.9166,0.923
22:00:53:29,0.0160,0.1321,0.9526,0.962
22:00:53:35,-0.0080,0.1881,1.0127,1.030
22:00:53:113,-0.0881,0.2121,1.0767,1.101
22:00:53:115,-0.1281,0.2121,1.0527,1.081
22:00:53:116,-0.1441,0.1761,1.0007,1.026
22:00:53:118,-0.1121,0.1961,0.9166,0.944
22:00:53:119,-0.0720,0.2161,0.8646,0.894
22:00:53:120,-0.0280,0.2201,0.8045,0.835
22:00:53:122,-0.0320,0.2402,0.7245,0.764
22:00:53:124,-0.0320,0.2402,0.7445,0.783
22:00:53:125,-0.0720,0.2442,0.8126,0.851
22:00:53:145,-0.1081,0.2362,0.9486,0.984
22:00:53:147,-0.1161,0.2402,1.0687,1.102
22:00:53:157,-0.0881,0.2562,1.0967,1.130
22:00:53:162,-0.0560,0.2882,1.0327,1.074
22:00:53:225,-0.0600,0.3082,0.9366,0.988
22:00:53:228,-0.1001,0.3202,0.8286,0.894
22:00:53:229,-0.1241,0.3122,0.7965,0.864
22:00:53:231,-0.1281,0.2842,0.7885,0.848
22:00:53:233,-0.1081,0.2642,0.8166,0.865
22:00:53:234,-0.0761,0.3042,0.9526,1.003
22:00:53:236,-0.0720,0.3122,1.1408,1.185
22:00:53:252,-0.1201,0.2922,1.2849,1.323
22:00:53:253,-0.1121,0.2522,1.3569,1.385
22:00:53:262,-0.0961,0.2442,1.2569,1.284
22:00:53:320,-0.0600,0.2682,1.0967,1.131
22:00:53:322,-0.0440,0.2962,0.8486,0.900
22:00:53:324,-0.0440,0.3002,0.7205,0.782
22:00:53:326,-0.0680,0.2682,0.6645,0.720
22:00:53:327,-0.0841,0.2041,0.6404,0.677
22:00:53:329,-0.0761,0.1081,0.6925,0.705
22:00:53:441,-0.0480,0.0841,0.7245,0.731
22:00:53:442,-0.0761,0.1201,0.8005,0.813
22:00:53:444,-0.1641,0.1561,1.0687,1.092
22:00:53:445,-0.3362,0.1441,1.5130,1.557
22:00:53:446,-0.3202,0.0480,1.6691,1.700
22:00:53:448,-0.2282,-0.0120,1.7332,1.748
22:00:53:449,-0.1201,0.0720,1.5851,1.591
22:00:53:450,-0.0640,0.2362,1.4530,1.473
22:00:53:452,-0.0720,0.3322,1.3329,1.376
22:00:53:453,-0.0801,0.3723,1.0807,1.146
22:00:53:455,-0.0520,0.3522,0.9006,0.968
22:00:53:456,-0.0080,0.3402,0.6524,0.736
22:00:53:458,0.0400,0.3162,0.6444,0.719
22:00:53:464,0.0000,0.3482,0.7325,0.811
22:00:53:536,-0.1081,0.3642,0.9767,1.048
22:00:53:538,-0.2001,0.3042,1.2689,1.320
22:00:53:540,-0.2201,0.2041,1.5651,1.594
22:00:53:545,-0.1721,0.1721,1.7572,1.774
22:00:53:546,-0.0600,0.2362,1.5611,1.580
22:00:53:548,-0.0520,0.3042,1.1808,1.220
22:00:53:550,-0.0881,0.3202,0.9246,0.982
22:00:53:551,-0.0881,0.2882,0.7085,0.770
22:00:53:553,-0.0600,0.2201,0.6244,0.665
22:00:53:570,-0.0120,0.1401,0.6725,0.687
22:00:53:616,0.0440,0.1121,0.8406,0.849
22:00:53:618,0.0961,0.1121,1.0207,1.031
22:00:53:620,0.1001,0.1521,1.1568,1.171
22:00:53:622,-0.0360,0.1961,1.3609,1.375
22:00:53:623,-0.1801,0.2081,1.4690,1.495
22:00:53:625,-0.2722,0.1841,1.4170,1.455
22:00:53:636,-0.2121,0.1521,1.1888,1.217
22:00:53:689,-0.1161,0.1921,0.9727,0.998
22:00:53:691,-0.0360,0.2402,0.7925,0.829
22:00:53:771,0.0200,0.2682,0.6885,0.739
22:00:53:773,0.0160,0.2362,0.5524,0.601
22:00:53:775,0.0120,0.1681,0.4843,0.513
22:00:53:777,-0.0160,0.1281,0.5043,0.521
22:00:53:778,-0.0160,0.1201,0.5724,0.585
22:00:53:780,-0.0440,0.1281,0.7205,0.733
22:00:53:782,-0.0400,0.1201,0.8766,0.886
22:00:53:784,-0.0080,0.1001,0.9406,0.946
22:00:53:785,0.0160,0.1081,0.9246,0.931
22:00:53:787,-0.0080,0.1281,0.9086,0.918
22:00:53:788,-0.0320,0.1361,0.9486,0.959
22:00:53:789,-0.0320,0.1441,0.9446,0.956
22:00:53:791,0.0040,0.1481,0.9767,0.988
22:00:53:792,0.0680,0.1681,1.0287,1.045
22:00:53:815,0.1321,0.2201,1.1288,1.158
22:00:53:817,0.1601,0.2682,1.1448,1.187
22:00:53:868,0.1601,0.3242,1.1007,1.159
22:00:53:870,0.1161,0.3482,1.0207,1.085
22:00:53:872,0.0600,0.4323,1.0087,1.099
22:00:53:874,0.0080,0.4683,1.0967,1.193
22:00:53:876,0.0000,0.4603,1.0967,1.189
22:00:53:878,-0.0240,0.3963,1.0207,1.095
22:00:53:889,-0.0480,0.3883,0.9767,1.052
22:00:53:966,-0.0600,0.4603,1.0167,1.118
22:00:53:968,-0.1081,0.4523,1.1648,1.254
22:00:53:970,-0.0961,0.3682,1.3249,1.378
22:00:53:972,0.0040,0.3002,1.3889,1.421
22:00:53:974,0.0961,0.3122,1.5330,1.567
22:00:53:976,0.1401,0.3362,1.5491,1.591
22:00:53:977,0.1641,0.3202,1.3609,1.408
22:00:53:979,0.1641,0.2722,1.1568,1.200
22:00:53:980,0.1481,0.2722,1.0567,1.101
22:00:53:982,0.1321,0.2682,1.0047,1.048
22:00:54:2,0.1241,0.2362,0.9607,0.997
22:00:54:3,0.1081,0.2161,0.9566,0.987
22:00:54:85,0.0680,0.1841,1.0487,1.067
22:00:54:87,0.0200,0.1481,1.2328,1.242
22:00:54:88,0.0240,0.1201,1.2488,1.255
22:00:54:89,0.0400,0.1161,1.1448,1.151
22:00:54:91,0.0240,0.1601,0.9767,0.990
22:00:54:93,0.0160,0.1921,0.8326,0.855
22:00:54:94,-0.0200,0.1921,0.7525,0.777
22:00:54:95,-0.0320,0.1601,0.7005,0.719
22:00:54:97,-0.0801,0.1081,0.7285,0.741
22:00:54:159,-0.1201,0.1041,0.8486,0.863
22:00:54:161,-0.1001,0.1161,0.9607,0.973
22:00:54:162,-0.0360,0.1481,0.9927,1.004
22:00:54:164,-0.0440,0.2041,1.0327,1.054
22:00:54:165,-0.0961,0.2482,1.0247,1.059
22:00:54:167,-0.1281,0.2562,0.9526,0.995
22:00:54:168,-0.1281,0.2282,0.8806,0.919
22:00:54:180,-0.1041,0.2442,0.8085,0.851
22:00:54:182,-0.0600,0.2842,0.8166,0.867
22:00:54:254,-0.0080,0.2962,0.8246,0.876
22:00:54:256,0.0320,0.3282,0.8366,0.899
22:00:54:257,0.0200,0.3242,0.8286,0.890
22:00:54:259,-0.0200,0.3282,0.8246,0.888
22:00:54:260,-0.0680,0.3162,0.8846,0.942
22:00:54:262,-0.1161,0.2922,0.9366,0.988
22:00:54:263,-0.1361,0.2922,0.9727,1.025
22:00:54:265,-0.1081,0.2962,1.0527,1.099
22:00:54:272,-0.0761,0.2682,1.1208,1.155
22:00:54:282,-0.0600,0.2642,1.1688,1.200
22:00:54:340,-0.0801,0.2642,1.3009,1.330
22:00:54:342,-0.0720,0.2562,1.3369,1.363
22:00:54:343,-0.0680,0.2602,1.3649,1.391
22:00:54:345,-0.0841,0.2962,1.3889,1.423
22:00:54:347,-0.1241,0.3562,1.4970,1.544
22:00:54:348,-0.1361,0.3562,1.5731,1.619
22:00:54:485,-0.1601,0.3202,1.5691,1.609
22:00:54:486,-0.1681,0.2762,1.3489,1.387
22:00:54:488,-0.1521,0.2922,1.0447,1.095
22:00:54:489,-0.1441,0.3362,0.8286,0.906
22:00:54:490,-0.1761,0.3362,0.7925,0.879
22:00:54:492,-0.2402,0.2482,0.8886,0.953
22:00:54:493,-0.3202,0.1161,1.2488,1.294
22:00:54:495,-0.2762,-0.0520,1.5050,1.531
22:00:54:496,-0.1121,-0.0841,1.7012,1.707
22:00:54:498,0.0160,0.0440,1.7452,1.746
22:00:54:501,0.0040,0.1481,1.5491,1.556
22:00:54:503,-0.1281,0.1761,1.2849,1.303
22:00:54:505,-0.1241,0.1241,0.7165,0.738
22:00:54:506,-0.0520,0.1521,0.6444,0.664
22:00:54:513,-0.0040,0.2081,0.6244,0.658
22:00:54:575,-0.0440,0.2121,0.6004,0.638
22:00:54:577,-0.1241,0.1761,0.6084,0.645
22:00:54:578,-0.1961,0.1241,0.6244,0.666
22:00:54:580,-0.2362,0.1081,0.7205,0.766
22:00:54:583,-0.2442,0.1361,0.8526,0.897
22:00:54:584,-0.2242,0.1641,0.9046,0.946
22:00:54:586,-0.1841,0.1961,0.9446,0.982
22:00:54:598,-0.1561,0.2001,0.8806,0.916
22:00:54:653,-0.1401,0.2041,0.8005,0.838
22:00:54:655,-0.1241,0.2201,0.7245,0.767
22:00:54:657,-0.1081,0.2442,0.6805,0.731
22:00:54:658,-0.1161,0.2762,0.7245,0.784
22:00:54:660,-0.1921,0.3362,0.8526,0.936
22:00:54:661,-0.2642,0.3322,1.1328,1.210
22:00:54:663,-0.2442,0.3082,1.3289,1.386
22:00:54:677,-0.2041,0.3402,1.4610,1.514
22:00:54:761,-0.1881,0.4283,1.4130,1.488
22:00:54:763,-0.2322,0.4803,1.2128,1.325
22:00:54:765,-0.2362,0.4763,0.9406,1.080
22:00:54:766,-0.2362,0.4523,0.7325,0.893
22:00:54:767,-0.2081,0.4483,0.6164,0.790
22:00:54:769,-0.2242,0.3803,0.5884,0.736
22:00:54:771,-0.1961,0.3082,0.6484,0.744
22:00:54:772,-0.1681,0.2362,0.8606,0.908
22:00:54:774,-0.1801,0.1681,1.0807,1.108
22:00:54:775,-0.1921,0.1401,1.2528,1.275
22:00:54:800,-0.1961,0.1561,1.3609,1.384
22:00:54:801,-0.2081,0.1281,1.4290,1.450
22:00:54:803,-0.2121,0.0720,1.4050,1.423
22:00:54:812,-0.1921,0.0320,1.3929,1.406
22:00:54:882,-0.1281,0.0280,1.2929,1.300
22:00:54:883,-0.0600,0.0520,1.0167,1.020
22:00:54:885,-0.0080,0.1161,0.7765,0.785
22:00:54:886,0.0120,0.1481,0.6204,0.638
22:00:54:888,-0.0520,0.1561,0.5964,0.619
22:00:54:890,-0.1441,0.1321,0.7045,0.731
22:00:54:892,-0.3042,0.0961,0.9727,1.024
22:00:54:893,-0.3202,0.0841,1.0647,1.115
22:00:54:909,-0.2121,0.1401,1.1168,1.145
22:00:54:975,-0.1521,0.2562,1.1648,1.202
22:00:54:977,-0.1881,0.3122,1.1168,1.175
22:00:54:979,-0.2322,0.2922,0.9286,1.001
22:00:54:981,-0.2442,0.2442,0.7725,0.846
22:00:54:983,-0.2482,0.2161,0.7125,0.785
22:00:54:984,-0.2001,0.2562,0.6564,0.733
22:00:54:986,-0.1121,0.2642,0.6885,0.746
22:00:54:987,-0.0640,0.2882,0.7445,0.801
22:00:55:4,-0.0640,0.2682,0.8566,0.900
22:00:55:6,-0.1121,0.2442,1.0207,1.055
22:00:55:12,-0.1521,0.2242,1.1328,1.165
22:00:55:63,-0.1481,0.2282,1.2288,1.259
22:00:55:65,-0.1281,0.2722,1.1848,1.222
22:00:55:66,-0.0961,0.3282,1.0767,1.130
22:00:55:68,-0.0961,0.3442,0.9206,0.988
22:00:55:70,-0.0961,0.3322,0.8326,0.902
22:00:55:72,-0.0640,0.3122,0.8005,0.862
22:00:55:86,-0.0720,0.2802,0.8206,0.870
22:00:55:92,-0.1201,0.2642,0.9927,1.034
22:00:55:102,-0.1881,0.2442,1.2809,1.317
22:00:55:112,-0.2081,0.2282,1.4770,1.509
22:00:55:163,-0.2081,0.2482,1.5210,1.555
22:00:55:165,-0.2201,0.2802,1.4130,1.457
22:00:55:167,-0.2402,0.3162,1.2488,1.310
22:00:55:168,-0.2962,0.3042,1.0927,1.172
22:00:55:170,-0.2842,0.2642,1.0167,1.088
22:00:55:179,-0.2602,0.2201,0.9807,1.038
22:00:55:184,-0.1961,0.1721,0.9887,1.023
22:00:55:192,-0.1161,0.1481,0.9607,0.979
22:00:55:202,-0.0680,0.1601,0.9086,0.925
22:00:55:212,-0.0560,0.1481,0.8926,0.907
22:00:55:266,-0.1201,0.1041,0.8606,0.875
22:00:55:268,-0.1561,0.0440,0.8726,0.888
22:00:55:269,-0.2041,0.0000,0.9126,0.935
22:00:55:271,-0.1881,-0.0160,0.9326,0.952
22:00:55:272,-0.1561,0.0120,0.9206,0.934
22:00:55:274,-0.1321,0.0640,0.9046,0.916
22:00:55:286,-0.1721,0.0881,0.8886,0.909
22:00:55:292,-0.2322,0.0961,0.8606,0.897
22:00:55:302,-0.2602,0.0961,0.9006,0.942
22:00:55:362,-0.2802,0.1281,0.9326,0.982
22:00:55:363,-0.2802,0.1681,0.9887,1.041
22:00:55:365,-0.2642,0.2121,1.0207,1.075
22:00:55:366,-0.2522,0.2442,0.9927,1.053
22:00:55:367,-0.2602,0.2762,0.9526,1.025
22:00:55:369,-0.3042,0.3002,0.9727,1.062
22:00:55:499,-0.3322,0.3242,0.9767,1.081
22:00:55:500,-0.3642,0.3242,1.0007,1.113
22:00:55:502,-0.3723,0.3122,0.9847,1.098
22:00:55:503,-0.3642,0.3242,0.9687,1.084
22:00:55:504,-0.3322,0.3042,0.9486,1.050
22:00:55:506,-0.3122,0.2762,0.9406,1.029
22:00:55:507,-0.2802,0.2402,0.9326,1.003
22:00:55:512,-0.2642,0.2161,0.9326,0.993
22:00:55:514,-0.2562,0.1841,1.0087,1.057
22:00:55:515,-0.2602,0.1521,1.1047,1.145
22:00:55:516,-0.2642,0.1161,1.1968,1.231
22:00:55:518,-0.2482,0.1001,1.2208,1.250
22:00:55:519,-0.2602,0.1361,1.1928,1.228
22:00:55:521,-0.2642,0.1481,1.1528,1.192
22:00:55:522,-0.2642,0.1481,1.0887,1.130
22:00:55:536,-0.2642,0.1401,1.0487,1.091
22:00:55:542,-0.2522,0.1721,1.0687,1.111
22:00:55:595,-0.2562,0.1641,1.1088,1.150
22:00:55:596,-0.2962,0.1721,1.1648,1.214
22:00:55:598,-0.2962,0.1481,1.1288,1.176
22:00:55:599,-0.2962,0.1721,1.0487,1.103
22:00:55:600,-0.3002,0.1881,0.9526,1.016
22:00:55:602,-0.3002,0.1881,0.8846,0.953
22:00:55:614,-0.2962,0.1681,0.8085,0.877
22:00:55:671,-0.3002,0.1401,0.7645,0.833
22:00:55:673,-0.2962,0.1361,0.7365,0.805
22:00:55:674,-0.2922,0.1241,0.7765,0.839
22:00:55:677,-0.2642,0.1281,0.8126,0.864
22:00:55:679,-0.2562,0.1241,0.8206,0.869
22:00:55:680,-0.2442,0.1361,0.8286,0.874
22:00:55:682,-0.2562,0.1321,0.8326,0.881
22:00:55:767,-0.2602,0.1361,0.8566,0.906
22:00:55:769,-0.2602,0.1401,0.8366,0.887
22:00:55:771,-0.2602,0.1601,0.8486,0.902
22:00:55:772,-0.2642,0.1641,0.9246,0.976
22:00:55:774,-0.2882,0.1561,1.0047,1.057
22:00:55:777,-0.2882,0.1521,0.9767,1.030
22:00:55:778,-0.2682,0.1761,0.9446,0.998
22:00:55:780,-0.2642,0.2161,0.8726,0.937
22:00:55:786,-0.2722,0.2322,0.8085,0.884
22:00:55:788,-0.2882,0.2362,0.8166,0.898
22:00:55:810,-0.3082,0.2282,0.8526,0.935
22:00:55:811,-0.3442,0.1961,0.9687,1.047
22:00:55:813,-0.3562,0.1841,1.0807,1.153
22:00:55:822,-0.3482,0.1961,1.1608,1.228
22:00:55:881,-0.3322,0.2282,1.1368,1.206
22:00:55:883,-0.3362,0.2442,1.0887,1.165
22:00:55:884,-0.3362,0.2522,0.9807,1.067
22:00:55:886,-0.3642,0.2362,0.9206,1.018
22:00:55:887,-0.3522,0.1961,0.8926,0.979
22:00:55:889,-0.3162,0.1881,0.9366,1.006
22:00:55:901,-0.2842,0.1801,1.0127,1.067
22:00:55:903,-0.2562,0.1841,1.1007,1.145
22:00:55:912,-0.2482,0.2041,1.1208,1.166
22:00:55:922,-0.2642,0.2001,1.1408,1.188
22:00:55:978,-0.2882,0.2041,1.1408,1.194
22:00:55:980,-0.2922,0.1921,1.1128,1.166
22:00:55:981,-0.2762,0.1801,1.0567,1.107
22:00:55:983,-0.2642,0.1681,1.0407,1.087
22:00:55:984,-0.2842,0.1521,1.0167,1.067
22:00:55:986,-0.2842,0.1481,0.9967,1.047
22:00:55:997,-0.3162,0.1241,1.0287,1.083
22:00:56:2,-0.3402,0.1241,1.0447,1.106
22:00:56:61,-0.3202,0.1041,1.0607,1.113
22:00:56:63,-0.2922,0.1241,1.0527,1.100
22:00:56:64,-0.2802,0.1441,1.0327,1.080
22:00:56:66,-0.2722,0.1361,1.0447,1.088
22:00:56:67,-0.2962,0.1241,1.0407,1.089
22:00:56:68,-0.2802,0.1121,1.0607,1.103
22:00:56:81,-0.2762,0.1241,1.0727,1.115
22:00:56:83,-0.2682,0.1401,1.0847,1.126
22:00:56:215,-0.2522,0.1681,1.0407,1.084
22:00:56:222,-0.2482,0.1841,0.9767,1.024
22:00:56:225,-0.2442,0.1801,0.9046,0.954
22:00:56:226,-0.2402,0.1921,0.8206,0.876
22:00:56:228,-0.2442,0.1921,0.8486,0.904
22:00:56:229,-0.2522,0.1921,0.9086,0.962
22:00:56:231,-0.2562,0.1681,0.9887,1.035
22:00:56:233,-0.2482,0.1721,1.0447,1.087
22:00:56:234,-0.2161,0.1761,1.0247,1.062
22:00:56:236,-0.1841,0.2121,0.9366,0.978
22:00:56:238,-0.1881,0.2282,0.8606,0.910
22:00:56:242,-0.1921,0.2201,0.8045,0.856
22:00:56:246,-0.2121,0.1761,0.8166,0.862
22:00:56:248,-0.1921,0.1441,0.9006,0.932
22:00:56:250,-0.2121,0.1361,0.9486,0.982
22:00:56:255,-0.1841,0.1641,0.9727,1.003
22:00:56:258,-0.1881,0.2041,0.9847,1.023
22:00:56:304,-0.2362,0.2282,0.9607,1.015
22:00:56:305,-0.2722,0.2081,0.9246,0.986
22:00:56:307,-0.2882,0.1601,0.8926,0.952
22:00:56:308,-0.2802,0.1441,0.8926,0.947
22:00:56:309,-0.2402,0.1601,0.9206,0.965
22:00:56:314,-0.2242,0.1761,0.9366,0.979
22:00:56:322,-0.2602,0.2081,1.0407,1.093
22:00:56:390,-0.3082,0.2041,1.1488,1.207
22:00:56:392,-0.3482,0.1921,1.2408,1.303
22:00:56:393,-0.3242,0.2001,1.2448,1.302
22:00:56:395,-0.3162,0.2362,1.1968,1.260
22:00:56:396,-0.3002,0.2722,1.1047,1.177
22:00:56:397,-0.3082,0.3002,1.0407,1.126
22:00:56:399,-0.3082,0.2962,1.0007,1.088
22:00:56:403,-0.3162,0.2482,1.0087,1.086
22:00:56:454,-0.3162,0.1961,1.0727,1.135
22:00:56:456,-0.3322,0.2161,1.1208,1.189
22:00:56:458,-0.3402,0.2242,1.1848,1.253
22:00:56:460,-0.3522,0.2282,1.1568,1.231
22:00:56:461,-0.3803,0.2121,1.1007,1.184
22:00:56:463,-0.3923,0.1881,1.0407,1.128
22:00:56:591,-0.3642,0.1601,1.0527,1.125
22:00:56:593,-0.3522,0.1441,1.0527,1.119
22:00:56:594,-0.3242,0.1321,1.0647,1.121
22:00:56:595,-0.3122,0.1441,1.0607,1.115
22:00:56:597,-0.3202,0.1681,1.0487,1.109
22:00:56:598,-0.3202,0.1641,1.0567,1.116
22:00:56:599,-0.3162,0.1641,1.0087,1.070
22:00:56:601,-0.3122,0.1521,0.9927,1.052
22:00:56:602,-0.3202,0.1521,1.0287,1.088
22:00:56:603,-0.3322,0.1481,1.0607,1.121
22:00:56:605,-0.3602,0.1481,1.0687,1.137
22:00:56:606,-0.3642,0.1641,1.0367,1.111
22:00:56:607,-0.3682,0.1881,1.0167,1.098
22:00:56:609,-0.3723,0.1921,0.9046,0.997
22:00:56:681,-0.3562,0.1841,0.8486,0.939
22:00:56:682,-0.3202,0.1721,0.7765,0.857
22:00:56:684,-0.2922,0.1601,0.7485,0.819
22:00:56:686,-0.2842,0.1561,0.7605,0.827
22:00:56:687,-0.2762,0.1241,0.7925,0.848
22:00:56:689,-0.2802,0.1121,0.9086,0.957
22:00:56:691,-0.2682,0.1161,1.0007,1.042
22:00:56:692,-0.2362,0.1401,1.0127,1.049
22:00:56:815,-0.2001,0.1681,0.9887,1.023
22:00:56:817,-0.1881,0.1841,0.9366,0.973
22:00:56:818,-0.1921,0.2041,0.8926,0.936
22:00:56:820,-0.1961,0.1801,0.8766,0.916
22:00:56:821,-0.1881,0.1721,0.9086,0.944
22:00:56:823,-0.1681,0.1801,0.9526,0.984
22:00:56:824,-0.1721,0.2001,1.0647,1.097
22:00:56:826,-0.1881,0.2201,1.1128,1.150
22:00:56:827,-0.2041,0.2322,1.1168,1.159
22:00:56:828,-0.2201,0.2282,1.1047,1.149
22:00:56:829,-0.2242,0.2482,1.0407,1.093
22:00:56:831,-0.2362,0.2562,1.0047,1.063
22:00:56:832,-0.2402,0.2522,1.1088,1.162
22:00:56:834,-0.2402,0.2402,1.1768,1.225
22:00:56:855,-0.2482,0.2362,1.2448,1.291
22:00:56:856,-0.2442,0.2642,1.2288,1.280
22:00:56:916,-0.2362,0.2722,1.1648,1.219
22:00:56:918,-0.2322,0.2842,1.0887,1.149
